,Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
3,8,logarithm_classifiers_embeddings_probabilities_equivalence,"[0, 1, 2, 3, 4]",1,v1w1_a1x1_viwi_nxn_vnwn,7,logarithm_classifiers_embeddings_probabilities_equivalence,1.0480640748882903
2,7,logarithm_classifiers_embeddings_probabilities_equivalence,"[0, 2, 3, 4]",6,logarithm_probabilities_classifiers_embeddings_regression,3,asymmetric_equivalence_intransitive_transitive_implies,0.9338080553969779
1,6,logarithm_probabilities_classifiers_embeddings_regression,"[0, 2, 4]",2,embeddings_unigrams_sigmoid_word2vec_sklearn,5,logarithm_classifiers_probabilities_regression_entropy,0.771849418154581
0,5,logarithm_classifiers_probabilities_regression_entropy,"[0, 4]",0,logarithm_probabilities_classifiers_regression_entropy,4,permutation_sigmoid_perceptron_embedding_cartesian,0.691923940970439
